Code,Types,BGD_EU,CHN_EU,VNM_EU,CAM_EU,TUR_EU,IND_EU,BGD_US,CHN_US,VNM_US,CAM_US,TUR_US,IND_US,BGD_UK,CHN_UK,VNM_UK,CAM_UK,TUR_UK,IND_UK
'620891,Cotton,5.061983471,22.00413223,1.354453627,18.48599633,19.9207989,9.87144169,2.318831402,29.67539527,11.13872881,0.80979672,16.42444008,23.74902371,4.102351156,19.94186546,0.085913113,0.423838025,20.92557061,14.84149031
'620920,Cotton,43.61071977,19.80660861,5.638447746,2.386974898,0.381019467,13.99526127,37.02638181,16.12037166,13.61407493,4.540586637,0.115522678,10.68894651,15.26964795,12.87132471,1.341070495,0.387139218,1.496685279,26.74001788
'621132,Cotton,6.877291848,17.75925981,0.46461437,1.488764326,0.39167491,1.674610074,2.955902546,14.20638442,2.415268203,0.549369279,0.317835226,3.197103262,11.96842973,13.51880211,0.64069842,0.813471028,6.942971951,2.225101766
'621142,Cotton,15.43879908,30.66397229,4.450057737,0.8573903,2.269053118,21.47517321,8.279806267,35.62854303,8.281661356,0.502265528,1.079275711,21.2950381,6.817417355,15.24713755,0.473151458,0.496921152,6.896799164,20.28765815
'621320,Cotton,0.380807312,58.41584158,0.304645849,0,0.304645849,22.81035796,0.102177727,83.31716379,0.145525854,0,0.035091341,13.33367737,0.623475197,71.65898618,0,0.09487666,1.030089455,3.917050691
'610130,MMF,6.774448621,29.08741538,6.519108805,6.442754529,2.937102561,0.228458761,5.197601152,21.36935078,20.60189856,3.159769331,0.259535185,0.814487009,7.297120656,25.32805635,8.077411859,2.442903308,1.013761301,0.279220072
'610230,MMF,5.158321978,38.37717808,5.463416973,5.364897824,1.759065001,0.403694068,2.621783807,39.56708617,26.15099069,3.413369343,0.196858173,0.370205894,11.97511211,26.87146595,8.950267882,4.313764293,0.717069096,0.310516528
'610290,MMF,0.52335979,14.21146128,1.464211162,0.641788634,1.447463649,0.809263767,1.46184739,55.04417671,6.65060241,0,0.562248996,2,0.876236321,34.77116318,3.019818736,1.049227182,4.283404159,0.770937535
'610323,MMF,2.828016863,38.27714709,0.622293204,3.232327592,4.778348513,0.477690968,0,65.27472527,14.28571429,10.65934066,0,3.516483516,1.483453785,39.67287942,0.076074553,0.830480538,18.99961963,1.629263345
'610333,MMF,8.331570607,28.49233121,2.282080685,5.406929925,11.47386156,0.507665075,1.139531253,38.75967264,20.53609259,5.925116518,7.031197734,3.855674241,8.451829186,45.05692301,1.45457409,3.479503217,4.191603294,0.399361022
'610343,MMF,5.098622861,20.82843427,5.04978469,8.38452069,6.724060229,0.380698767,5.702274323,11.31263239,23.2536043,6.249123513,0.276720449,0.282655613,5.174748866,20.89092785,2.887056913,9.125424342,5.919879126,0.781450518
'610349,MMF,4.783579875,11.42785735,1.805089114,6.674893391,7.451537825,1.33335416,1.764645831,28.33058671,8.416339745,1.225043387,1.946943954,0.891073226,5.597944566,12.23398734,1.138015156,0.426917886,9.024966262,8.212654417
'610413,MMF,0.662411592,23.199931,0.465758151,0.039675694,11.22477143,0.688287045,0,72.51796212,10.30372306,0,0.204114958,1.747224037,0.483187715,48.59456359,0.518489101,0.072809108,1.116406319,15.58556173
'610423,MMF,8.266495501,37.54317004,0.359561029,1.784740525,5.847836954,0.892370263,8.864767074,67.39032112,9.520578924,0,0.972410674,0.022614202,19.2534671,31.71781253,0.666371594,0.098357431,11.24471329,1.249139372
'610433,MMF,6.588191609,35.1998278,2.781787448,2.593165753,6.209316014,0.369694441,1.20062153,49.68067848,28.59655968,1.102737335,0.560609483,0.57566859,10.76826501,38.18339852,5.947172727,8.023564634,4.240668308,1.026606789
'610443,MMF,5.418063347,26.52105505,2.079893851,5.365479617,13.30483896,1.963504127,1.362220878,41.27298041,28.38472614,2.192311413,1.280392514,3.713720436,7.52534948,29.0714916,1.67150118,3.183308386,12.97552299,3.896222878
'610444,MMF,11.52361239,21.90617514,0.739807303,4.859000632,14.77698434,2.221976806,1.203340512,33.41686749,26.80752107,2.580051787,2.04477089,1.482250594,10.38081863,14.47976603,0.764909602,2.948515175,21.35202203,1.939543508
